burnup,boron,group,absorption,capture,fission,nu_fission,transport,out_scatter,diffusion
0.5,1836.7,1,0.0114485,0.007986,0.00346252,0.00875785,0.252432,0.018839,1.32049
0.5,1887.8,1,0.0114652,0.00800204,0.00346318,0.00875943,0.252468,0.0188429,1.3203
0.5,1938.8,1,0.0114819,0.00801804,0.00346383,0.008761,0.252504,0.0188467,1.32011
0.5,153.1,1,0.0108857,0.00744865,0.00343704,0.00869693,0.251106,0.0186544,1.32746
0.5,1989.8,1,0.0114985,0.00803403,0.00346447,0.00876254,0.252539,0.0188505,1.31993
0.5,2040.8,1,0.0115151,0.00805,0.00346511,0.00876408,0.252575,0.0188541,1.31974
0.5,2091.8,1,0.0115317,0.00806597,0.00346575,0.0087656,0.25261,0.0188577,1.31956
0.5,2142.9,1,0.0115483,0.00808193,0.00346638,0.00876711,0.252645,0.0188612,1.31937
0.5,2193.9,1,0.0115649,0.00809787,0.003467,0.00876861,0.25268,0.0188646,1.31919
0.5,2244.9,1,0.0115814,0.00811378,0.00346761,0.00877009,0.252714,0.018868,1.31901
0.5,2295.9,1,0.0115979,0.00812968,0.00346822,0.00877155,0.252749,0.0188712,1.31883
0.5,2346.9,1,0.0116144,0.00814556,0.00346883,0.00877301,0.252783,0.0188744,1.31866
0.5,2398.0,1,0.0116309,0.00816147,0.00346943,0.00877445,0.252817,0.0188775,1.31848
0.5,2449.0,1,0.0116473,0.00817732,0.00347002,0.00877588,0.252851,0.0188805,1.3183
0.5,204.1,1,0.0109031,0.00746519,0.00343794,0.00869906,0.25115,0.0186617,1.32723
0.5,2500.0,1,0.0116638,0.00819316,0.00347061,0.00877729,0.252884,0.0188834,1.31813
0.5,255.1,1,0.0109205,0.0074817,0.00343882,0.00870116,0.251194,0.018669,1.32699
0.5,306.1,1,0.0109379,0.0074982,0.00343969,0.00870325,0.251238,0.018676,1.32676
0.5,357.1,1,0.0109552,0.00751467,0.00344056,0.00870532,0.251282,0.018683,1.32653
0.5,408.2,1,0.0109726,0.00753118,0.00344142,0.00870737,0.251325,0.0186899,1.3263
0.5,0.0,2,0.130744,0.0516507,0.0790934,0.193101,1.03159,0.00200663,0.323127
0.5,459.2,2,0.135637,0.0570507,0.078586,0.191876,1.02951,0.00207131,0.323777
0.5,510.2,2,0.136176,0.0576455,0.0785306,0.191742,1.0293,0.00207841,0.323846
0.5,561.2,2,0.136715,0.0582393,0.0784754,0.191609,1.02908,0.0020855,0.323914
0.5,612.2,2,0.137252,0.0588321,0.0784204,0.191476,1.02887,0.00209258,0.323981
0.5,663.3,2,0.137791,0.0594251,0.0783654,0.191344,1.02866,0.00209965,0.324048
0.5,714.3,2,0.138327,0.060016,0.0783108,0.191212,1.02845,0.0021067,0.324113
0.5,765.3,2,0.138862,0.060606,0.0782564,0.19108,1.02824,0.00211373,0.324178
0.5,816.3,2,0.139397,0.061195,0.0782022,0.19095,1.02804,0.00212074,0.324243
0.5,867.4,2,0.139932,0.0617842,0.078148,0.190819,1.02783,0.00212776,0.324307
0.5,918.4,2,0.140465,0.0623713,0.0780942,0.190689,1.02763,0.00213474,0.32437
0.5,51.0,2,0.131291,0.0522544,0.0790362,0.192963,1.03135,0.00201388,0.323202
0.5,969.4,2,0.140998,0.0629575,0.0780405,0.190559,1.02744,0.00214171,0.324432
0.5,1020.4,2,0.14153,0.0635428,0.077987,0.19043,1.02724,0.00214867,0.324494
0.5,1071.4,2,0.142061,0.0641271,0.0779337,0.190302,1.02705,0.00215561,0.324555
0.5,1122.5,2,0.142592,0.0647117,0.0778805,0.190173,1.02685,0.00216255,0.324616
0.5,1173.5,2,0.143122,0.0652942,0.0778276,0.190045,1.02667,0.00216946,0.324676
0.5,1224.5,2,0.143651,0.0658758,0.0777748,0.189918,1.02648,0.00217636,0.324735
0.5,1275.5,2,0.144179,0.0664565,0.0777223,0.189791,1.02629,0.00218325,0.324793
0.5,1326.5,2,0.144706,0.0670363,0.0776699,0.189665,1.02611,0.00219011,0.324851
0.5,1377.6,2,0.145234,0.0676164,0.0776176,0.189539,1.02593,0.00219698,0.324908
